POINT_COUNT: 35991
[2794.308886 1213.061823]	[2549.033510 1137.021165]
[2822.989563 1238.508110]	[2581.481369 1158.107648]
[2824.368747 1238.899328]	[2583.155720 1158.313036]
[2820.561314 1237.832897]	[2578.569781 1157.756418]
[2821.660508 1238.135547]	[2579.879796 1157.913102]
[2810.949898 1235.401712]	[2567.691016 1156.551969]
[2812.195660 1235.691698]	[2569.033650 1156.688709]
[2818.144042 1237.186692]	[2575.740692 1157.426752]
[2818.779183 1237.352103]	[2576.472314 1157.509987]
[2815.736955 1236.567818]	[2572.989530 1157.117402]
[2813.337074 1235.966993]	[2570.289622 1156.821415]
[2815.606788 1236.535475]	[2572.843850 1157.101536]
[2794.046893 1215.414854]	[2549.126591 1139.286940]
[2793.855060 1217.075930]	[2549.148208 1140.889691]
[2793.776868 1217.743798]	[2549.149877 1141.534631]
[2793.501834 1220.057689]	[2549.129813 1143.771032]
[2793.226989 1222.372329]	[2549.111677 1146.008070]
[2792.960573 1224.711852]	[2549.165986 1148.263836]
[2792.699524 1227.067916]	[2549.267367 1150.532135]
[2792.588028 1228.055199]	[2549.296209 1151.483663]
[2808.574810 1234.869405]	[2565.186711 1156.307120]
[2806.215356 1234.381878]	[2562.810459 1156.095788]
[2808.090164 1234.768412]	[2564.696440 1156.263052]
[2801.519591 1233.470310]	[2558.238700 1155.720508]
[2802.697502 1233.697624]	[2559.381989 1155.813631]
[2803.864390 1233.917467]	[2560.500173 1155.901703]
[2799.165199 1232.993014]	[2555.890117 1155.516558]
[2796.821681 1232.547004]	[2553.630916 1155.336034]
[2797.192416 1232.614043]	[2553.978864 1155.361862]
[2792.432346 1229.405292]	[2549.315165 1152.786393]
[2794.489719 1232.134217]	[2551.466728 1155.180408]
[2792.159878 1231.726839]	[2549.317422 1155.028787]
[2827.864515 1239.902616]	[2587.429393 1158.842489]
[2829.612451 1240.407790]	[2589.574959 1159.109833]
[2825.425207 1239.201624]	[2584.445076 1158.472368]
[2827.003685 1239.654935]	[2586.375555 1158.711655]
[2853.245419 1251.771944]	[2624.601546 1166.639181]
[2852.945524 1254.017162]	[2624.349357 1168.816647]
[2852.647277 1256.262220]	[2624.098403 1170.993897]
[2852.422649 1258.515623]	[2623.902729 1173.172408]
[2852.234239 1260.772849]	[2623.734216 1175.351293]
[2852.023443 1263.027222]	[2623.548892 1177.529588]
[2851.777790 1265.277443]	[2623.337407 1179.707217]
[2851.517103 1267.525635]	[2623.114637 1181.884382]
[2851.254755 1269.773299]	[2622.890600 1184.061278]
[2851.009255 1272.022764]	[2622.679212 1186.238406]
[2850.801107 1274.276239]	[2622.495879 1188.415954]
